"pathway","pval","padj","log2err","ES","NES","size","query_gene","rank_by_NES","self_enrichment_rank"
"CREB1",0.530263157894737,0.792307692307692,0.0555947097758869,-0.17307843434792,-0.982487579172482,1124,"ATF3",65,58
"CTCF",0.634146341463415,0.840833232798488,0.048701086452153,-0.170353424623798,-0.957996714420943,939,"ATF3",75,58
"E2F1",0.0266802058003254,0.152670066524084,0.352487857583619,0.201228375498132,1.16728663632932,673,"ATF3",24,58
"E2F4",0.661237785016287,0.840833232798488,0.0905428948469474,0.166720814101592,0.961209358865562,613,"ATF3",74,58
"E2F6",0.989117291414752,0.989117291414752,0.0215798086475871,-0.150296126687665,-0.876193657202876,2119,"ATF3",93,58
"EGR1",0.0341161678595773,0.184945541554551,0.321775918075361,-0.276955001030278,-1.33335005644164,181,"ATF3",7,58
"EGR1",0.13302034428795,0.472451567643408,0.150169802128406,-0.221008448695581,-1.14449646122516,368,"ATF3",26,58
"ELF1",0.00124711504510168,0.0256905699290945,0.45505986738723,0.197196918534411,1.20637666846236,1798,"ATF3",18,58
"ERG",0.329439252336449,0.677270303891949,0.112843355675562,0.226613104858588,1.05922936572098,108,"ATF3",45,58
"ESR1",0.467013888888889,0.775845654121864,0.0753093764172773,-0.24795137700229,-0.989623572191555,61,"ATF3",63,58
"ETS1",0.3625,0.691435185185185,0.11101149245045,0.215112150541127,1.03793999574201,130,"ATF3",51,58
"EZH2",0.002524412494626,0.0371449267066397,0.431707695803346,-0.386258515468425,-1.62175473066948,83,"ATF3",2,58
